label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13	col_14
6	1291 mph		Sam	Fremont, San Bernardino	78 m/s	0.0328	-0.111	-789	-726	1392	Statistics	-606	1.8961	2240	832
6	448 mph	1.4724	Reilly	Fremont	-56 m/s	0.4986	1.541	-153	180	-367	Applied Mathematics	-277	0.9148	1605	-639
2	-502 mph	-1.2056	Sam	San Francisco	-16 m/s	0.4707	2.0308	111	554	-292	Statistics	7	0.6681	-1260	347
1	-321 mph	0.6883	Fabrice	Los Angeles	1773 m/s	1.7925	-0.4548	-643	555	2449	Bioengineering	-890	-0.5301	244	-375
5	-984 mph	0.2453	Eriq	Fresno	1012 m/s	0.3869	1.3482	1329	574	-487	Electrical Engineering	1208	0.7994	-20	2261
5	-133 mph	0.4146	Eriq	Fresno	-14 m/s	0.6443	0.1858	1027	-149	91	Data Science	1595	1.1922	143	1113
4	901 mph	1.2627	Lise	Santa Ana	141 m/s	-0.0283	1.2258	688	860	289	Computer Science	-985	-0.3871	48	429
0	484 mph	1.1832	Inan	Irvine	-271 m/s	1.4337	-0.3627	935	-558	1110	Human Computer Interaction	-778	0.5747	357	1264
5	-1026 mph	-0.8477	Lise	Sacramento	13 m/s	None	2.1135	487	-93	-137	Electrical Engineering	788	0.3238	3135	-455
7	1012 mph	2.652	Andrew	Anaheim	719 m/s	0.1465	-0.5799	1428	1881	-1156	Technology and Information Management	1711	0.7531	516	883
8	1757 mph	-2.3936	Vani	Fresno, Bakersfield	341 m/s	1.3998	0.3001	863	1946	-447	COMPUTER GAME DESIGN	1023	0.5105	1392	-39
3	-23 mph	-0.2197	Chris	Irvine	2080 m/s	-1.1649	2.0118	915	874	2417	Computer Engineering	421	-0.9432	137	-127
7	719 mph	1.1498	Andrew	Stockton	2127 m/s	0.7029	0.7295	1579	361	580	Biotechnology	-280	0.4181	300	269
5	-104 mph	0.1968	Eriq	Fresno	2181 m/s	2.0765	0.6465	222	1039	-787	Electrical Engineering	2071	0.3626	485	2016
0	414 mph	1.0066	Tony	Bakersfield, Fresno, Sacramento	661 m/s	-0.1102	1.7114	-292	715	-281	Bioinformatics	700	2.3376	1720	1117
4	751 mph	2.0014	Lise	SANTA ANA	-1315 m/s	-0.6222	1.7007	1416	1145	2201	Computer Science	-4	-0.226	-724	459
9	117 mph	0.356	Michael	San Diego	1270 m/s	1.0765	1.2151	315	135	-1144	Games and Playable Media	-628	1.0144	1346	-48
0	1736 mph	1.3589	Tony	Oakland	885 m/s	0.757	-0.3975	617	-2060	204	Bioinformatics	2825	0.4543	2765	1636
3	1143 mph	1.9355	Chris	Modesto	-380 m/s	0.9717	0.7766	857	-12	718	Computer Engineering	-987	1.4776	1734	-1064
1	-129 mph	1.2132	Fabrice	Modesto	823 m/s	0.8769	-1.1045	126	619	-456	Bioengineering	-105	-0.2649	1453	50
4	-730 mph	N/A	Lise	Moreno Valley	847 m/s	0.9526	-0.7434	210	-223	937	Computer Science	148	1.6402	674	963
0	-433 mph	0.4977	Tony	Sacramento	155 m/s	0.4132	-1.4855	800	367	-1073	Computer Science	445	0.1539	-113	-813
8	236 mph	-1.4786	Vani	Los Angeles	1254 m/s	-0.9146	1.1847	1511	372	-1411	Computer Game Design	688	-0.3426	245	458
9	-554 mph	-0.2014	Michael	San Diego	-485 m/s	-1.2598	0.3178	850	1274	402	Games And Playable Media	-550	0.6431	-185	382
6	2022 mph	1.3178	Reilly	Santa Clarita, San Bernardino	-390 m/s	0.3849	0.4141	1272	272	-472	Applied Mathematics	-172	1.5903	726	431
2	385 mph	1.7376	Inan	San Francisco	881 m/s	1.2211	0.5969	662	464	584	Natural Language Processing	100	0.393	1294	n/a
4	652 mph	0.114	Andrew	Santa Ana	-292 m/s	1.3304	0.5652	1283	1966	737	Computer Science	698	0.5997	809	-417
5	1509 mph	1.8679	Eriq	Riverside	-255 m/s	0.4688	0.7758	559	1733	287	Data Science	1026	-0.6068	2182	2278
7	-431 mph	-0.4544	Andrew	Anaheim	1417 m/s	0.2687	0.3011	2401	524	205	Biotechnology	-1652	1.6861	1377	-1437
0	1638 mph	-0.7875	Tony	Irvine	-577 m/s	1.3492	2.0767	1167	-937	-262	Bioinformatics	723	-0.8383	484	-332
8	205 mph	1.6429	Vani	Chula Vista	-189 m/s	1.3541	0.5124	-1229	-242	341	Computer Game Design	528	0.6873	917	787
6	719 mph	1.4518	Inan	Santa Clarita	-121 m/s	0.34	0.5515	-800	886	-379	Applied Mathematics	1547	0.7318	584	-1487
1	1021 mph	-0.3046	Inan	Riverside	705 m/s	1.2193	-1.1626	1044	912	-119	Bioengineering	362	0.4676	1048	-1253
8	115 mph	0.8422	Vani	Chula Vista	-460 m/s	2.5518	-0.0547	97	1345	1419	Computer Game Design	1257	1.5949	1015	584
8	1063 mph	0.4606	Vani	CHULA VISTA	2884 m/s	?	-1.4282	1335	995	827	COMPUTER GAME DESIGN	-362	0.7549	877	869
6	-13 mph	-1.3799	Reilly	Irvine	-1511 m/s	1.6762	-0.2703	-229	-640	-724	Statistics	-468	1.0608	1588	1073
4	-1806 mph	1.2257	Sam	Santa Ana	112 m/s	1.9361	0.9949	1178	348	289	Computer Science	-644	-0.2411	1728	-282
2	-667 mph	2.7628	Inan	San Jose	1739 m/s	0.2292	2.3611	720	238	631	Natural Language Processing	842	-0.5067	-283	943
3	-300 mph	0.7667	Chris	Moreno Valley	997 m/s	-0.2749	0.4907	2122	-417	-155	Computer Engineering	-66	-0.2778	101	-667
1	1327 mph	-0.031	Fabrice	San Bernardino	1551 m/s	1.7143	-1.3588	566	295	-173	Bioengineering	1454	-0.2189	1167	868
2	-337 mph	1.1618	Inan	San Jose	554 m/s	1.9867	1.3788	2388	424	-265	Natural Language Processing	195	1.4156	78	681
1	128 mph	0.6193	Fabrice	Riverside	1154 m/s	-0.455	-0.8508	506	744	-129	Bioengineering	-604	-0.1658	525	87
0	229 mph	2.3799	Tony	Oakland	437 m/s	0.2184	0.0464	347	581	-894	Bioinformatics	-1188	-0.2153	315	-839
7	-543 mph	1.8424	Andrew	Stockton	886 m/s	0.9257	2.5723	316	2318	-744	robotics engineering	-1882	0.81	177	922
4	374 mph	1.3492	Lise	Santa Ana	550 m/s	0.6701	-0.7589	1390	-54	-615	Computer Science	-1414	0.8674	-557	330
9	342 mph	0.3253	Michael	San Diego	2141 m/s	-0.5056	0.5329	1957	659	226	Games and Playable Media	444	0.4258	2151	-816
0	101 mph	-0.6201	Tony	Oakland	-296 m/s	-1.3896	1.167	31	-1242	1314	Data Science	-389	2.18	843	604
9	1438 mph	0.4218	Michael	San Diego	993 m/s	0.8047	2.0116	2063	1631	-1681	Games and Playable Media	-508	0.9925	-1004	-169
1	739 mph	1.451	Fabrice	Riverside	-34 m/s	0.1335	0.2825	238	1361	-793	Bioengineering	793	1.4742	-483	928
9	-794 mph	0.4137	Michael	San Diego	-636 m/s	0.0733	2.4821	815	285	154	Games and Playable Media	-846	0.7564	1717	-545
4	-1219 mph	1.4653	Lise	Santa Ana	130 m/s	0.4893	2.5196	499	350	1313	Computer Science	-613	1.414	954	2439
1	48 mph	0.4053	Fabrice	Riverside	831 m/s	1.609	-0.2988	331	83	1342	Bioengineering	-590	0.0041	556	-678
0	1456 mph	1.9926	Lise	Irvine	944 m/s	0.6608	0.8423	1073	n/a	1358	Bioinformatics	1592	0.3208	1516	2288
3	753 mph	0.1176	Chris	Modesto	2470 m/s	1.189	0.6878	601	38	924	computer engineering	-394	0.0968	-209	-259
6	285 mph	-1.0048	Reilly	San Bernardino	795 m/s	0.9972	0.271	356	1656	1733	Statistics	114	-0.0688	194	-67
3	-829 mph	1.2037	Chris	Moreno Valley	1928 m/s	-0.1475	0.3651	935	226	1738	Computer Engineering	1067	0.4816	-419	-759
2	1648 mph	0.4803	CHRIS	Irvine	-341 m/s	0.4138	0.2249	976	515	576	Natural Language Processing	147	0.3428	299	1070
1	-53 mph	-0.0892	Fabrice	Los Angeles	-47 m/s	0.5197	0.9286	670	-110	-1019	Bioengineering	647	-0.4843	1464	-1551
9	967 mph	0.4674	Michael	Oakland	396 m/s	0.4596	None	1118	-182	779	Games and Playable Media	900	1.7537	1761	899
0	1943 mph	-0.1693	Tony	Irvine	-295 m/s	0.6923	1.6227	-1067	-532	2492	Bioinformatics	453	2.4002	-658	98
2	-131 mph	1.7374	Inan	San Francisco	-50 m/s	0.9491	0.0378	-86	-510	1183	Statistics	-207	0.5384	173	1137
0	-613 mph	1.7104	Tony	Irvine	1892 m/s	1.0246	-0.277	-521	-491	658	Bioinformatics	1606	0.6284	1488	24
0	861 mph	2.8988	Tony	Oakland	-2 m/s	0.7978	1.4908	1877	-754	855	Bioinformatics	-73	-0.2589	137	-536
9	778 mph	-0.599	Michael	San Diego	-211 m/s	-0.3687	-0.3283	1867	222	435	Games and Playable Media	536	0.5854	2362	734
9	-1543 mph	-0.4476	Michael	san diego	2904 m/s	-0.5453	0.3933	757	-503	377	Games and Playable Media	98	2.0324	302	-670
0	997 mph	-0.0535	Tony	Irvine	-1054 m/s	-0.2884	-0.3347	346	992	1801	Bioinformatics	-1047	0.8244	n/a	656
7	-547 mph	1.2531	Andrew	Stockton	650 m/s	-0.1074	0.752	1216	1416	-980	Computational Media	421	0.2935	220	n/a
8	398 mph	-0.1938	Vani	Chula Vista	1167 m/s	0.8262	1.03	71	913	592	Computer Game Design	234	1.0323	-1082	-735
0	553 mph	0.6714	Tony	Oakland	-1199 m/s	-0.126	-0.6997	673	368	208	Games and Playable Media	1432	0.3354	1432	1185
6	873 mph	0.358	Reilly	San Bernardino	0 m/s	0.7311	-0.0675	465	447	65	Applied Mathematics	109	0.0365	795	-70
2	205 mph	0.2704	Michael	Fremont, San Bernardino	-52 m/s	-0.4356	1.2212	14	-490	-121	Natural Language Processing	1529	0.9932	287	-552
5	-888 mph	1.4844	Eriq	Long Beach, Bakersfield, Sacramento	366 m/s	0.0018	-0.8465	1101	1697	332	Data Science	770	1.3447	541	-216
6	161 mph	1.1085	Reilly	Santa Clarita	602 m/s	2.0621	-0.1405	-268	665	655	Bioengineering	-751	0.4581	380	-1925
4	840 mph	1.1615	Lise	Santa Ana	1348 m/s	0.9385	1.1597	242	-225	1501	Computer Science	-952	n/a	-850	?
3	527 mph	3.1679	Chris	Modesto	1566 m/s	-0.2268	0.6475	-634	-684	994	Computer Engineering	-313	0.5628	-106	-292
4	1761 mph	1.5272	Lise	Santa Ana	-509 m/s		0.3518	994	787	-599	Technology and Information Management	-768	-0.2169	780	174
2	-20 mph	1.0004	Inan	San Francisco	1947 m/s	-0.0151	0.2108	1838	-290	894	Natural Language Processing	1230	0.0343	2214	2680
5	2860 mph	1.7835	Eriq	Fresno, Sacramento	-528 m/s	-0.2162	0.291	1028	2555	568	Data Science	-589	1.1855	932	356
5	979 mph	-1.0068	Eriq	Sacramento, Bakersfield, Fresno	-473 m/s	-0.0911	0.3032	544	882	1537	Bioinformatics	1593	0.0179	-126	2292
8	985 mph	0.6848	Vani	Chula Vista	1003 m/s	1.3194	1.847	154	572	2029	Computer Game Design	706	0.7176	1397	569
0	1048 mph	0.6886	Tony	Irvine	-251 m/s	2.415	2.6256	-423	1280	1149	Bioinformatics	-234	0.9979	198	1599
4	527 mph	1.4657	Lise	Santa Ana	-375 m/s	1.0957	0.4455	1223	624	-1147	Computer Science	-971	0.389	2002	-148
6	-669 mph	-0.4684	Sam	San Diego	-629 m/s	0.2139	n/a	74	-1514	-1134	Applied Mathematics	-45	0.731	1227	-599
7	400 mph	2.9416	Andrew	ANAHEIM	944 m/s	-0.2203	-0.108	1654	-776	1903	rOBOTICS eNGINEERING	-426	-0.0095	409	1059
6	-250 mph	-0.4241	Reilly	San Bernardino, Fremont	1541 m/s	-0.3413	0.1139	-146	-361	87	Statistics	479	0.2165	433	-1042
3	647 mph	-1.3886	Chris	Modesto	-425 m/s	-0.8709	-0.32	1625	-509	1718	Computer Engineering	-430	0.3153	NULL	-1492
6	884 mph	2.7977	Michael	Fremont, San Bernardino	1080 m/s	0.4802	0.6842	601	124	26	Applied Mathematics	125	NULL	2084	182
1	658 mph	1.0168	Fabrice	Los Angeles	909 m/s	1.8782	-0.1544	1616	821	355	Bioengineering	885	0.9546	538	-1148
0	1797 mph	0.2606	Tony	San Jose	-222 m/s	2.1652	0.5212	-41	12	2061	Human Computer Interaction	-267	n/a	710	-67
2	387 mph	2.8451	Inan	San Jose	-421 m/s	0.7642	-0.0699	100	1363	148	Natural Language Processing	-332	1.703	493	1726
5	889 mph	1.1689	Eriq	sacramento	937 m/s	-0.5609	2.4621	1633	616	58	Electrical Engineering	722	1.1856	1839	-212
4	-639 mph	1.6661	Lise	Santa Ana	-164 m/s	0.1133	3.2792	1038	-111	1049	Computer Science	989	0.5765	-1195	701
9	-663 mph	-0.2622	Michael	Los Angeles	1716 m/s	0.1026	1.5961	708	158	864	Games and Playable Media	239	0.9034	138	-1364
1	-631 mph	0.3722	Fabrice	Modesto	442 m/s	1.302	0.3455	-580	232	386	Bioengineering	1760	1.496	268	51
5	410 mph	0.2836	Tony	Bakersfield	1046 m/s	0.1871	0.6697	2154	1256	495	Data Science	-888	0.7192	743	1182
0	519 mph	-0.5293	Tony	Long Beach, Bakersfield, Fresno	522 m/s	1.0774	-0.7139	161	88	1625	Bioinformatics	1194	-0.2849	-15	1415
1	-498 mph	1.2341	Vani	Riverside	-759 m/s	0.5383	-0.4991	456	-583	-792	Bioengineering	-1158	0.3986	2902	215
